,country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
38,"Congo, Rep.",63.9,85.1,2.46,54.7,5190.0,20.7,60.4,4.95,2740.0
39,Costa Rica,10.2,33.2,10.9,35.0,13000.0,6.57,80.4,1.92,8200.0
40,Cote d'Ivoire,111.0,50.6,5.3,43.3,2690.0,5.39,56.3,5.27,1220.0
41,Croatia,5.5,37.6,7.76,38.1,20100.0,0.821,76.3,1.55,13500.0
42,Cyprus,3.6,50.2,5.97,57.5,33900.0,2.01,79.9,1.42,30800.0
43,Czech Republic,3.4,66.0,7.88,62.9,28300.0,-1.43,77.5,1.51,19800.0
44,Denmark,4.1,50.5,11.4,43.6,44000.0,3.22,79.5,1.87,58000.0
45,Dominican Republic,34.4,22.7,6.22,33.3,11100.0,5.44,74.6,2.6,5450.0
46,Ecuador,25.1,27.9,8.06,32.4,9350.0,7.47,76.7,2.66,4660.0
47,Egypt,29.1,21.3,4.66,26.6,9860.0,10.1,70.5,3.19,2600.0
48,El Salvador,19.2,26.9,6.91,46.6,7300.0,2.65,74.1,2.27,2990.0
49,Equatorial Guinea,111.0,85.8,4.48,58.9,33700.0,24.9,60.9,5.21,17100.0
50,Eritrea,55.2,4.79,2.66,23.3,1420.0,11.6,61.7,4.61,482.0
51,Estonia,4.5,75.1,6.03,68.7,22700.0,1.74,76.0,1.72,14600.0
52,Fiji,24.1,57.8,4.86,63.9,7350.0,4.23,65.3,2.67,3650.0
53,Finland,3.0,38.7,8.95,37.4,39800.0,0.35100000000000003,80.0,1.87,46200.0
54,France,4.2,26.8,11.9,28.1,36900.0,1.05,81.4,2.03,40600.0
55,Gabon,63.7,57.7,3.5,18.9,15400.0,16.6,62.9,4.08,8750.0
57,Georgia,16.5,35.0,10.1,52.8,6730.0,8.55,72.8,1.92,2960.0
58,Germany,4.2,42.3,11.6,37.1,40400.0,0.758,80.1,1.39,41800.0
59,Ghana,74.7,29.5,5.22,45.9,3060.0,16.6,62.2,4.27,1310.0
60,Greece,3.9,22.1,10.3,30.7,28700.0,0.6729999999999999,80.4,1.48,26900.0
61,Grenada,14.6,23.8,5.86,49.2,11200.0,0.48,71.3,2.24,7370.0
62,Guatemala,35.4,25.8,6.85,36.3,6710.0,5.14,71.3,3.38,2830.0
63,Guinea,109.0,30.3,4.93,43.2,1190.0,16.1,58.0,5.34,648.0
64,Guinea-Bissau,114.0,14.9,8.5,35.2,1390.0,2.97,55.6,5.05,547.0
65,Guyana,37.6,51.4,5.38,79.1,5840.0,5.73,65.5,2.65,3040.0
66,Haiti,208.0,15.3,6.91,64.7,1500.0,5.45,32.1,3.33,662.0
67,Hungary,6.0,81.8,7.33,76.5,22300.0,2.33,74.5,1.25,13100.0
68,Iceland,2.6,53.4,9.4,43.3,38800.0,5.47,82.0,2.2,41900.0
69,India,58.8,22.6,4.05,27.1,4410.0,8.98,66.2,2.6,1350.0
70,Indonesia,33.3,24.3,2.61,22.4,8430.0,15.3,69.9,2.48,3110.0
71,Iran,19.3,24.4,5.6,19.4,17400.0,15.9,74.5,1.76,6530.0
72,Iraq,36.9,39.4,8.41,34.1,12700.0,16.6,67.2,4.56,4500.0
73,Ireland,4.2,103.0,9.19,86.5,45700.0,-3.22,80.4,2.05,48700.0
74,Israel,4.6,35.0,7.63,32.9,29600.0,1.77,81.4,3.03,30600.0
75,Italy,4.0,25.2,9.53,27.2,36200.0,0.319,81.7,1.46,35800.0
76,Jamaica,18.1,31.3,4.81,49.6,8000.0,9.81,74.7,2.17,4680.0
77,Japan,3.2,15.0,9.49,13.6,35800.0,-1.9,82.8,1.39,44500.0
78,Jordan,21.1,48.3,8.04,69.0,9470.0,8.43,75.8,3.66,3680.0
79,Kazakhstan,21.5,44.2,4.29,29.9,20100.0,19.5,68.4,2.6,9070.0
80,Kenya,62.2,20.7,4.75,33.6,2480.0,2.09,62.8,4.37,967.0
81,Kiribati,62.7,13.3,11.3,79.9,1730.0,1.52,60.7,3.84,1490.0
82,Kuwait,10.8,66.7,2.63,30.4,75200.0,11.2,78.2,2.21,38500.0
83,Kyrgyz Republic,29.6,51.6,6.18,81.7,2790.0,10.0,68.5,3.1,880.0
84,Lao,78.9,35.4,4.47,49.3,3980.0,9.2,63.8,3.15,1140.0
85,Latvia,7.8,53.7,6.68,55.1,18300.0,-0.812,73.1,1.36,11300.0
86,Lebanon,10.3,35.8,7.03,60.2,16300.0,0.23800000000000002,79.8,1.61,8860.0
87,Lesotho,99.7,39.4,11.1,101.0,2380.0,4.15,46.5,3.3,1170.0
88,Liberia,89.3,19.1,11.8,92.6,700.0,5.47,60.8,5.02,327.0
89,Libya,16.6,65.6,3.88,42.1,29600.0,14.2,76.1,2.41,12100.0
90,Lithuania,6.1,65.3,7.04,67.2,21100.0,2.38,73.2,1.5,12000.0
91,Luxembourg,2.8,175.0,7.77,142.0,91700.0,3.62,81.3,1.63,105000.0
92,"Macedonia, FYR",10.4,39.8,7.09,58.1,11400.0,2.04,74.0,1.47,4540.0
93,Madagascar,62.2,25.0,3.77,43.0,1390.0,8.79,60.8,4.6,413.0
94,Malawi,90.5,22.8,6.59,34.9,1030.0,12.1,53.1,5.31,459.0
95,Malaysia,7.9,86.9,4.39,71.0,21100.0,7.27,74.5,2.15,9070.0
96,Maldives,13.2,77.6,6.33,65.4,10500.0,2.88,77.9,2.23,7100.0
97,Mali,137.0,22.8,4.98,35.1,1870.0,4.37,59.5,6.55,708.0
98,Malta,6.8,153.0,8.65,154.0,28300.0,3.83,80.3,1.36,21100.0
99,Mauritania,97.4,50.7,4.41,61.2,3320.0,18.9,68.2,4.98,1200.0
100,Mauritius,15.0,51.2,6.0,62.2,15900.0,1.13,73.4,1.57,8000.0
101,"Micronesia, Fed. Sts.",40.0,23.5,14.2,81.0,3340.0,3.8,65.4,3.46,2860.0
102,Moldova,17.2,39.2,11.7,78.5,3910.0,11.1,69.7,1.27,1630.0
103,Mongolia,26.1,46.7,5.44,56.7,7710.0,39.2,66.2,2.64,2650.0
104,Montenegro,6.8,37.0,9.11,62.7,14000.0,1.6,76.4,1.77,6680.0
105,Morocco,33.5,32.2,5.2,43.0,6440.0,0.976,73.5,2.58,2830.0
106,Mozambique,101.0,31.5,5.21,46.2,918.0,7.64,54.5,5.56,419.0
107,Myanmar,64.4,0.109,1.97,0.0659,3720.0,7.04,66.8,2.41,988.0
108,Namibia,56.0,47.8,6.78,60.7,8460.0,3.56,58.6,3.6,5190.0
109,Nepal,47.0,9.58,5.25,36.4,1990.0,15.1,68.3,2.61,592.0
110,Netherlands,4.5,72.0,11.9,63.6,45500.0,0.848,80.7,1.79,50300.0
111,New Zealand,6.2,30.3,10.1,28.0,32300.0,3.73,80.9,2.17,33700.0
112,Niger,123.0,22.2,5.16,49.1,814.0,2.55,58.8,7.49,348.0
113,Nigeria,130.0,25.3,5.07,17.4,5150.0,104.0,60.5,5.84,2330.0
114,Norway,3.2,39.7,9.48,28.5,62300.0,5.95,81.0,1.95,87800.0
115,Oman,11.7,65.7,2.77,41.2,45300.0,15.6,76.1,2.9,19300.0
116,Pakistan,92.1,13.5,2.2,19.4,4280.0,10.9,65.3,3.85,1040.0
117,Panama,19.7,70.0,8.1,78.2,15400.0,2.59,77.8,2.62,8080.0
118,Paraguay,24.1,55.1,5.87,51.5,7290.0,6.1,74.1,2.73,3230.0
119,Peru,20.3,27.8,5.08,23.8,9960.0,5.71,77.9,2.54,5020.0
120,Philippines,31.9,34.8,3.61,36.6,5600.0,4.22,69.0,3.16,2130.0
121,Poland,6.0,40.1,7.46,42.1,21800.0,1.66,76.3,1.41,12600.0
122,Portugal,3.9,29.9,11.0,37.4,27200.0,0.643,79.8,1.39,22500.0
123,Qatar,9.0,62.3,1.81,23.8,125000.0,6.98,79.5,2.07,70300.0
124,Romania,11.5,32.6,5.58,38.8,17800.0,3.53,73.7,1.59,8230.0
125,Russia,10.0,29.2,5.08,21.1,23100.0,14.2,69.2,1.57,10700.0
126,Rwanda,63.6,12.0,10.5,30.0,1350.0,2.61,64.6,4.51,563.0
127,Samoa,18.9,29.2,6.47,53.1,5400.0,1.72,71.5,4.34,3450.0
128,Saudi Arabia,15.7,49.6,4.29,33.0,45400.0,17.2,75.1,2.96,19300.0
129,Senegal,66.8,24.9,5.66,40.3,2180.0,1.85,64.0,5.06,1000.0
130,Serbia,7.6,32.9,10.4,47.9,12700.0,5.88,74.7,1.4,5410.0
131,Seychelles,14.4,93.8,3.4,108.0,20400.0,-4.21,73.4,2.17,10800.0
132,Sierra Leone,160.0,16.8,13.1,34.5,1220.0,17.2,55.0,5.2,399.0
133,Singapore,2.8,200.0,3.96,174.0,72100.0,-0.046,82.7,1.15,46600.0
134,Slovak Republic,7.0,76.3,8.79,77.8,25200.0,0.485,75.5,1.43,16600.0
135,Slovenia,3.2,64.3,9.41,62.9,28700.0,-0.987,79.5,1.57,23400.0
136,Solomon Islands,28.1,49.3,8.55,81.2,1780.0,6.81,61.7,4.24,1290.0
137,South Africa,53.7,28.6,8.94,27.4,12000.0,6.35,54.3,2.59,7280.0
138,South Korea,4.1,49.4,6.93,46.2,30400.0,3.16,80.1,1.23,22100.0
139,Spain,3.8,25.5,9.54,26.8,32500.0,0.16,81.9,1.37,30700.0
140,Sri Lanka,11.2,19.6,2.94,26.8,8560.0,22.8,74.4,2.2,2810.0
141,St. Vincent and the Grenadines,20.7,26.9,4.47,57.1,9920.0,4.44,71.6,2.07,6230.0
142,Sudan,76.7,19.7,6.32,17.2,3370.0,19.6,66.3,4.88,1480.0
143,Suriname,24.1,52.5,7.01,38.4,14200.0,7.2,70.3,2.52,8300.0
144,Sweden,3.0,46.2,9.63,40.7,42900.0,0.991,81.5,1.98,52100.0
145,Switzerland,4.5,64.0,11.5,53.3,55500.0,0.317,82.2,1.52,74600.0
146,Tajikistan,52.4,14.9,5.98,58.6,2110.0,12.5,69.6,3.51,738.0
147,Tanzania,71.9,18.7,6.01,29.1,2090.0,9.25,59.3,5.43,702.0
148,Thailand,14.9,66.5,3.88,60.8,13500.0,4.08,76.6,1.55,5080.0
149,Timor-Leste,62.6,2.2,9.12,27.8,1850.0,26.5,71.1,6.23,3600.0
150,Togo,90.3,40.2,7.65,57.3,1210.0,1.18,58.7,4.87,488.0
151,Tonga,17.4,12.4,5.07,60.3,4980.0,3.68,69.9,3.91,3550.0
152,Tunisia,17.4,50.5,6.21,55.3,10400.0,3.82,76.9,2.14,4140.0
153,Turkey,19.1,20.4,6.74,25.5,18000.0,7.01,78.2,2.15,10700.0
154,Turkmenistan,62.0,76.3,2.5,44.5,9940.0,2.31,67.9,2.83,4440.0
155,Uganda,81.0,17.1,9.01,28.6,1540.0,10.6,56.8,6.15,595.0
156,Ukraine,11.7,47.1,7.72,51.1,7820.0,13.4,70.4,1.44,2970.0
157,United Arab Emirates,8.6,77.7,3.66,63.6,57600.0,12.5,76.5,1.87,35000.0
158,United Kingdom,5.2,28.2,9.64,30.8,36200.0,1.57,80.3,1.92,38900.0
159,United States,7.3,12.4,17.9,15.8,49400.0,1.22,78.7,1.93,48400.0
160,Uruguay,10.6,26.3,8.35,25.4,17100.0,4.91,76.4,2.08,11900.0
161,Uzbekistan,36.3,31.7,5.81,28.5,4240.0,16.5,68.8,2.34,1380.0
162,Vanuatu,29.2,46.6,5.25,52.7,2950.0,2.62,63.0,3.5,2970.0
163,Venezuela,17.1,28.5,4.91,17.6,16500.0,45.9,75.4,2.47,13500.0
165,Yemen,56.3,30.0,5.18,34.4,4480.0,23.6,67.5,4.67,1310.0
166,Zambia,83.1,37.0,5.89,30.9,3280.0,14.0,52.0,5.4,1460.0
